"t / s","CH1 / V","CH2 / V"
5.02e-05,3.45455,0.894626
5.04e-05,3.45455,0.904727
5.06e-05,3.43434,0.904727
5.08e-05,3.45455,0.904727
5.1e-05,3.43434,0.924929
5.12e-05,3.43434,0.924929
5.14e-05,3.45455,0.914828
5.16e-05,3.45455,0.924929
5.18e-05,3.47475,0.93503
5.2e-05,3.45455,0.945131
5.22e-05,3.47475,0.955232
5.24e-05,0.0606061,0.965333
5.26e-05,0.040404,0.945131
5.28e-05,0.040404,0.955232
5.3e-05,0.040404,0.945131
5.32e-05,0.040404,0.945131
5.34e-05,0.040404,0.945131
5.36e-05,0.040404,0.945131
5.38e-05,0.040404,0.93503
5.4e-05,0.040404,0.924929
5.42e-05,0.040404,0.924929
5.44e-05,0.040404,0.924929
5.46e-05,0.040404,0.924929
5.48e-05,0.040404,0.924929
5.5e-05,0.040404,0.924929
5.52e-05,0.0606061,0.924929
5.54e-05,0.040404,0.914828
5.56e-05,0.040404,0.924929
5.58e-05,0.040404,0.904727
5.6e-05,0.040404,0.914828
5.62e-05,0.040404,0.904727
5.64e-05,0.040404,0.904727
5.66e-05,0.040404,0.904727
5.68e-05,1.77778,0.904727
5.7e-05,3.43434,0.904727
5.72e-05,3.45455,0.924929
5.74e-05,3.43434,0.924929
5.76e-05,3.45455,0.924929
5.78e-05,3.45455,0.945131
5.8e-05,3.45455,0.945131
5.82e-05,3.45455,0.945131
5.84e-05,3.45455,0.955232
5.86e-05,3.47475,0.965333
5.88e-05,3.47475,0.965333
5.9e-05,3.47475,0.965333
5.92e-05,3.45455,0.965333
5.94e-05,3.43434,0.975434
5.96e-05,3.47475,0.985535
5.98e-05,3.47475,0.995636
6e-05,3.45455,0.985535
6.02e-05,3.45455,1.00574
6.04e-05,0.10101,1.00574
6.06e-05,0.040404,0.995636
6.08e-05,0.040404,0.995636
6.1e-05,0.040404,0.985535
6.12e-05,0.040404,0.985535
6.14e-05,0.040404,0.985535
6.16e-05,0.040404,0.985535
6.18e-05,0.0606061,0.985535
6.2e-05,0.040404,0.985535
6.22e-05,0.040404,0.985535
6.24e-05,0.040404,0.975434
6.26e-05,0.040404,0.965333
6.28e-05,0.040404,0.965333
6.3e-05,0.040404,0.965333
6.32e-05,0.040404,0.965333
6.34e-05,0.040404,0.965333
6.36e-05,0.040404,0.965333
6.38e-05,0.040404,0.965333
6.4e-05,0.040404,0.965333
6.42e-05,0.040404,0.965333
6.44e-05,0.040404,0.965333
6.46e-05,0.020202,0.965333
6.48e-05,1.73737,0.965333
6.5e-05,3.45455,0.965333
6.52e-05,3.47475,0.965333
6.54e-05,3.47475,0.965333
6.56e-05,3.45455,0.975434
6.58e-05,3.47475,0.985535
6.6e-05,3.47475,0.985535
6.62e-05,3.47475,0.985535
6.64e-05,3.47475,0.985535
6.66e-05,3.47475,1.00574
6.68e-05,3.47475,1.00574
6.7e-05,3.47475,1.01584
6.72e-05,3.47475,1.02594
6.74e-05,3.47475,1.02594
6.76e-05,3.45455,1.02594
6.78e-05,3.47475,1.04614
6.8e-05,3.47475,1.04614
6.82e-05,3.47475,1.04614
6.84e-05,0.242424,1.04614
6.86e-05,0.040404,1.04614
6.88e-05,0.040404,1.04614
6.9e-05,0.040404,1.04614
6.92e-05,0.040404,1.04614
6.94e-05,0.040404,1.04614
6.96e-05,0.040404,1.03604
6.98e-05,0.040404,1.03604
7e-05,0.040404,1.03604
7.02e-05,0.040404,1.02594
7.04e-05,0.040404,1.02594
7.06e-05,0.040404,1.02594
7.08e-05,0.040404,1.02594
7.1e-05,0.040404,1.00574
7.12e-05,0.040404,1.00574
7.14e-05,0.040404,1.00574
7.16e-05,0.040404,1.00574
7.18e-05,0.040404,1.00574
7.2e-05,0.040404,1.00574
7.22e-05,0.040404,1.00574
7.24e-05,0.040404,1.00574
7.26e-05,0.040404,0.995636
7.28e-05,1.73737,0.995636
7.3e-05,3.47475,0.995636
7.32e-05,3.47475,1.00574
7.34e-05,3.47475,1.00574
7.36e-05,3.47475,1.01584
7.38e-05,3.45455,1.02594
7.4e-05,3.45455,1.04614
7.42e-05,3.47475,1.04614
7.44e-05,3.47475,1.04614
7.46e-05,3.45455,1.06634
7.48e-05,3.47475,1.04614
7.5e-05,3.47475,1.06634
7.52e-05,3.45455,1.06634
7.54e-05,3.47475,1.06634
7.56e-05,3.47475,1.06634
7.58e-05,3.47475,1.07644
7.6e-05,3.47475,1.08655
7.62e-05,3.47475,1.08655
7.64e-05,0.727273,1.09665
7.66e-05,0.040404,1.08655
7.68e-05,0.040404,1.08655
7.7e-05,0.0606061,1.08655
7.72e-05,0.040404,1.08655
7.74e-05,0.040404,1.07644
7.76e-05,0.040404,1.07644
7.78e-05,0.040404,1.07644
7.8e-05,0.040404,1.06634
7.82e-05,0.0606061,1.06634
7.84e-05,0.040404,1.06634
7.86e-05,0.0606061,1.06634
7.88e-05,0.040404,1.06634
7.9e-05,0.040404,1.06634
7.92e-05,0.0606061,1.06634
7.94e-05,0.040404,1.04614
7.96e-05,0.040404,1.05624
7.98e-05,0.040404,1.04614
8e-05,0.040404,1.05624
8.02e-05,0.040404,1.04614
8.04e-05,0.040404,1.04614
8.06e-05,0.040404,1.04614
8.08e-05,1.67677,1.04614
8.1e-05,3.47475,1.04614
8.12e-05,3.47475,1.04614
8.14e-05,3.45455,1.05624
8.16e-05,3.47475,1.05624
8.18e-05,3.47475,1.06634
8.2e-05,3.45455,1.06634
8.22e-05,3.47475,1.06634
8.24e-05,3.47475,1.08655
8.26e-05,3.45455,1.08655
8.28e-05,3.45455,1.08655
8.3e-05,3.45455,1.09665
8.32e-05,3.45455,1.10675
8.34e-05,3.47475,1.11685
8.36e-05,3.45455,1.12695
8.38e-05,3.47475,1.12695
8.4e-05,3.47475,1.12695
8.42e-05,3.45455,1.12695
8.44e-05,1.57576,1.13705
8.46e-05,0.040404,1.12695
8.48e-05,0.040404,1.12695
8.5e-05,0.040404,1.12695
8.52e-05,0.040404,1.12695
8.54e-05,0.040404,1.12695
8.56e-05,0.0606061,1.12695
8.58e-05,0.040404,1.12695
8.6e-05,0.0606061,1.12695
8.62e-05,0.040404,1.11685
8.64e-05,0.040404,1.11685
8.66e-05,0.0606061,1.11685
8.68e-05,0.040404,1.10675
8.7e-05,0.040404,1.09665
8.72e-05,0.040404,1.09665
8.74e-05,0.040404,1.08655
8.76e-05,0.040404,1.08655
8.78e-05,0.040404,1.08655
8.8e-05,0.040404,1.08655
8.82e-05,0.040404,1.08655
8.84e-05,0.040404,1.07644
8.86e-05,0.040404,1.06634
8.88e-05,1.47475,1.07644
8.9e-05,3.47475,1.08655
8.92e-05,3.45455,1.09665
8.94e-05,3.47475,1.08655
8.96e-05,3.47475,1.08655
8.98e-05,3.45455,1.10675
9e-05,1.73737,1.10675
9.02e-05,0.040404,1.10675
9.04e-05,0.040404,1.10675
9.06e-05,0.040404,1.09665
9.08e-05,0.040404,1.09665
9.1e-05,0.040404,1.08655
9.12e-05,0.040404,1.08655
9.14e-05,0.040404,1.08655
9.16e-05,0.040404,1.08655
9.18e-05,0.040404,1.08655
9.2e-05,0.020202,1.07644
9.22e-05,0.040404,1.07644
9.24e-05,0.040404,1.06634
9.26e-05,0.040404,1.06634
9.28e-05,0.040404,1.06634
9.3e-05,0.040404,1.06634
9.32e-05,0.020202,1.06634
9.34e-05,0.040404,1.06634
9.36e-05,0.040404,1.06634
9.38e-05,0.040404,1.05624
9.4e-05,0.040404,1.05624
9.42e-05,0.040404,1.04614
9.44e-05,0.040404,1.04614
9.46e-05,0.040404,1.04614
9.48e-05,0.040404,1.05624
9.5e-05,0.040404,1.04614
9.52e-05,0.040404,1.04614
9.54e-05,0.040404,1.04614
9.56e-05,0.040404,1.04614
9.58e-05,0.040404,1.03604
9.6e-05,0.040404,1.03604
9.62e-05,0.040404,1.03604
9.64e-05,0.040404,1.02594
9.66e-05,0.040404,1.02594
9.68e-05,0.787879,1.02594
9.7e-05,3.45455,1.02594
9.72e-05,3.45455,1.03604
9.74e-05,3.43434,1.04614
9.76e-05,3.43434,1.04614
9.78e-05,3.43434,1.04614
9.8e-05,1.75758,1.05624
9.82e-05,0.040404,1.05624
9.84e-05,0.040404,1.04614
9.86e-05,0.040404,1.04614
9.88e-05,0.040404,1.04614
9.9e-05,0.040404,1.04614
9.92e-05,0.040404,1.04614
9.94e-05,0.040404,1.04614
9.96e-05,0.040404,1.04614
9.98e-05,0.040404,1.04614
0.0001,0.040404,1.03604
0.0001002,0.040404,1.02594
0.0001004,0.040404,1.02594
0.0001006,0.040404,1.02594
0.0001008,0.040404,1.01584
0.000101,0.040404,1.02594
0.0001012,0.040404,1.00574
0.0001014,0.040404,1.01584
0.0001016,0.040404,1.00574
0.0001018,0.040404,1.00574
0.000102,0.040404,1.00574
0.0001022,0.040404,1.00574
0.0001024,0.040404,0.995636
0.0001026,0.040404,0.985535
0.0001028,0.040404,1.00574
0.000103,0.040404,0.995636
0.0001032,0.040404,0.985535
0.0001034,0.040404,0.985535
0.0001036,0.040404,0.985535
0.0001038,0.040404,0.985535
0.000104,0.040404,0.985535
0.0001042,0.040404,0.985535
0.0001044,0.040404,0.985535
0.0001046,0.040404,0.985535
0.0001048,0.0808081,0.965333
0.000105,3.47475,0.975434
0.0001052,3.47475,0.985535
0.0001054,3.45455,0.985535
0.0001056,3.45455,0.985535
0.0001058,3.45455,1.00574
0.000106,1.75758,1.00574
0.0001062,0.040404,1.00574
0.0001064,0.040404,1.00574
0.0001066,0.040404,1.00574
0.0001068,0.040404,0.995636
0.000107,0.040404,0.985535
0.0001072,0.040404,0.985535
0.0001074,0.040404,0.985535
0.0001076,0.040404,0.985535
0.0001078,0.040404,0.985535
0.000108,0.040404,0.985535
0.0001082,0.040404,0.975434
0.0001084,0.040404,0.975434
0.0001086,0.040404,0.975434
0.0001088,0.040404,0.975434
0.000109,0.040404,0.975434
0.0001092,0.020202,0.965333
0.0001094,0.040404,0.965333
0.0001096,0.040404,0.965333
0.0001098,0.040404,0.965333
0.00011,0.040404,0.965333
0.0001102,0.040404,0.965333
0.0001104,0.020202,0.965333
0.0001106,0.040404,0.965333
0.0001108,0.040404,0.965333
0.000111,0.040404,0.965333
0.0001112,0.020202,0.945131
0.0001114,0.040404,0.955232
0.0001116,0.040404,0.945131
0.0001118,0.040404,0.945131
0.000112,0.040404,0.955232
0.0001122,0.020202,0.93503
0.0001124,0.040404,0.924929
0.0001126,0.040404,0.924929
0.0001128,0.040404,0.924929
0.000113,3.47475,0.93503
0.0001132,3.45455,0.945131
0.0001134,3.45455,0.945131
0.0001136,3.43434,0.965333
0.0001138,3.43434,0.965333
0.000114,1.83838,0.965333
0.0001142,0,0.965333
0.0001144,0.040404,0.965333
0.0001146,0.040404,0.965333
0.0001148,0.040404,0.965333
0.000115,0.040404,0.965333
0.0001152,0.020202,0.965333
0.0001154,0.040404,0.955232
0.0001156,0.040404,0.955232
0.0001158,0.040404,0.945131
0.000116,0.040404,0.945131
0.0001162,0.040404,0.945131
0.0001164,0.040404,0.945131
0.0001166,0.040404,0.93503
0.0001168,0.040404,0.924929
0.000117,0.020202,0.924929
0.0001172,0.020202,0.924929
0.0001174,0.040404,0.924929
0.0001176,0.040404,0.924929
0.0001178,0.040404,0.924929
0.000118,0.040404,0.924929
0.0001182,0.040404,0.914828
0.0001184,0.040404,0.914828
0.0001186,0.040404,0.924929
0.0001188,0.040404,0.914828
0.000119,0.040404,0.904727
0.0001192,0.040404,0.904727
0.0001194,0.040404,0.904727
0.0001196,0.040404,0.904727
0.0001198,0.040404,0.904727
0.00012,0,0.904727
0.0001202,0.040404,0.904727
0.0001204,0.040404,0.904727
0.0001206,0.040404,0.894626
0.0001208,0.040404,0.884525
0.000121,3.41414,0.904727
0.0001212,3.45455,0.904727
0.0001214,3.45455,0.904727
0.0001216,3.43434,0.924929
0.0001218,3.45455,0.924929
0.000122,2.06061,0.924929
0.0001222,0.020202,0.924929
0.0001224,0.040404,0.924929
0.0001226,0.040404,0.924929
0.0001228,0.040404,0.924929
0.000123,0,0.904727
0.0001232,0.040404,0.914828
0.0001234,0.040404,0.914828
0.0001236,0.040404,0.904727
0.0001238,0.020202,0.904727
0.000124,0.040404,0.904727
0.0001242,0.040404,0.904727
0.0001244,0.040404,0.904727
0.0001246,0.040404,0.904727
0.0001248,0.040404,0.904727
0.000125,0.040404,0.904727
0.0001252,0.040404,0.894626
0.0001254,0.040404,0.894626
0.0001256,0.040404,0.884525
0.0001258,0.040404,0.884525
0.000126,0.040404,0.884525
0.0001262,0.040404,0.884525
0.0001264,0.040404,0.884525
0.0001266,0.040404,0.884525
0.0001268,0.040404,0.884525
0.000127,0.020202,0.884525
0.0001272,0.040404,0.884525
0.0001274,0.040404,0.884525
0.0001276,0.040404,0.874424
0.0001278,0.040404,0.874424
0.000128,0,0.874424
0.0001282,0.040404,0.864323
0.0001284,0.040404,0.864323
0.0001286,0.040404,0.864323
0.0001288,0.020202,0.864323
0.000129,3.39394,0.864323
0.0001292,3.43434,0.864323
0.0001294,3.45455,0.884525
0.0001296,3.43434,0.884525
0.0001298,3.43434,0.884525
0.00013,3.43434,0.884525
0.0001302,3.45455,0.884525
0.0001304,3.43434,0.904727
0.0001306,3.43434,0.904727
0.0001308,3.43434,0.904727
0.000131,1.73737,0.914828
0.0001312,0.040404,0.914828
0.0001314,0.040404,0.904727
0.0001316,0.040404,0.904727
0.0001318,0.040404,0.904727
0.000132,0.040404,0.904727
0.0001322,0.040404,0.904727
0.0001324,0.040404,0.904727
0.0001326,0.020202,0.904727
0.0001328,0.040404,0.884525
0.000133,0.040404,0.894626
0.0001332,0.040404,0.904727
0.0001334,0.040404,0.884525
0.0001336,0.040404,0.894626
0.0001338,0.040404,0.884525
0.000134,0.040404,0.884525
0.0001342,0.040404,0.894626
0.0001344,0.040404,0.884525
0.0001346,0.040404,0.884525
0.0001348,0.040404,0.884525
0.000135,0.040404,0.884525
0.0001352,0.040404,0.884525
0.0001354,0.040404,0.884525
0.0001356,0.040404,0.884525
0.0001358,0.040404,0.884525
0.000136,0.040404,0.874424
0.0001362,0.040404,0.874424
0.0001364,0.020202,0.864323
0.0001366,0.040404,0.864323
0.0001368,0.020202,0.854222
0.000137,3.21212,0.864323
0.0001372,3.47475,0.884525
0.0001374,3.43434,0.884525
0.0001376,3.43434,0.884525
0.0001378,3.43434,0.884525
0.000138,3.43434,0.894626
0.0001382,3.45455,0.904727
0.0001384,3.45455,0.904727
0.0001386,3.43434,0.904727
0.0001388,3.47475,0.904727
0.000139,1.77778,0.924929
0.0001392,0.040404,0.914828
0.0001394,0.040404,0.904727
0.0001396,0.040404,0.904727
0.0001398,0.040404,0.904727
0.00014,0.040404,0.904727
0.0001402,0.040404,0.904727
0.0001404,0.040404,0.904727
0.0001406,0.040404,0.894626
0.0001408,0.040404,0.904727
0.000141,0.040404,0.894626
0.0001412,0.020202,0.894626
0.0001414,0.040404,0.904727
0.0001416,0.040404,0.894626
0.0001418,0.040404,0.884525
0.000142,0.040404,0.884525
0.0001422,0.040404,0.884525
0.0001424,0.040404,0.884525
0.0001426,0.040404,0.884525
0.0001428,0.040404,0.884525
0.000143,0.040404,0.884525
0.0001432,0.040404,0.884525
0.0001434,0.040404,0.884525
0.0001436,0.040404,0.874424
0.0001438,0.020202,0.884525
0.000144,0.040404,0.874424
0.0001442,0.040404,0.884525
0.0001444,0.040404,0.864323
0.0001446,0.020202,0.864323
0.0001448,0.040404,0.864323
0.000145,2.70707,0.864323
0.0001452,3.45455,0.874424
0.0001454,3.47475,0.884525
0.0001456,3.45455,0.884525
0.0001458,3.45455,0.884525
0.000146,3.43434,0.884525
0.0001462,3.45455,0.894626
0.0001464,3.47475,0.904727
0.0001466,3.43434,0.904727
0.0001468,3.43434,0.914828
0.000147,1.83838,0.924929
0.0001472,0.040404,0.924929
0.0001474,0.040404,0.924929
0.0001476,0.040404,0.904727
0.0001478,0.040404,0.904727
0.000148,0.040404,0.904727
0.0001482,0.040404,0.904727
0.0001484,0.040404,0.904727
0.0001486,0.020202,0.894626
0.0001488,0.040404,0.894626
0.000149,0.040404,0.904727
0.0001492,0.040404,0.894626
0.0001494,0.040404,0.884525
0.0001496,0.020202,0.884525
0.0001498,0.040404,0.884525
0.00015,0.040404,0.884525
0.0001502,0.040404,0.884525
0.0001504,0.040404,0.884525
0.0001506,0.040404,0.884525
0.0001508,0.020202,0.884525
0.000151,0.040404,0.884525
0.0001512,0.040404,0.884525
0.0001514,0.040404,0.884525
0.0001516,0.040404,0.884525
0.0001518,0.040404,0.884525
0.000152,0.040404,0.864323
0.0001522,0.040404,0.874424
0.0001524,0.040404,0.864323
0.0001526,0.040404,0.864323
0.0001528,0.020202,0.864323
0.000153,1.85859,0.854222
0.0001532,3.45455,0.864323
0.0001534,3.47475,0.884525
0.0001536,3.43434,0.884525
0.0001538,3.43434,0.884525
0.000154,3.43434,0.894626
0.0001542,3.45455,0.894626
0.0001544,3.45455,0.894626
0.0001546,3.45455,0.904727
0.0001548,3.45455,0.914828
0.000155,2.10101,0.914828
0.0001552,0.040404,0.914828
0.0001554,0.020202,0.914828
0.0001556,0.040404,0.904727
0.0001558,0.020202,0.904727
0.000156,0.040404,0.904727
0.0001562,0.040404,0.904727
0.0001564,0.040404,0.904727
0.0001566,0.040404,0.904727
0.0001568,0.020202,0.904727
0.000157,0.040404,0.894626
0.0001572,0.020202,0.894626
0.0001574,0.040404,0.894626
0.0001576,0.040404,0.904727
0.0001578,0.040404,0.884525
0.000158,0.040404,0.894626
0.0001582,0.020202,0.884525
0.0001584,0.040404,0.894626
0.0001586,0.040404,0.884525
0.0001588,0.040404,0.884525
0.000159,0.020202,0.884525
0.0001592,0.040404,0.884525
0.0001594,0.040404,0.884525
0.0001596,0.040404,0.884525
0.0001598,0.040404,0.884525
0.00016,0.040404,0.884525
0.0001602,0.040404,0.874424
0.0001604,0.040404,0.884525
0.0001606,0.020202,0.874424
0.0001608,0.040404,0.864323
0.000161,1.73737,0.864323
0.0001612,3.45455,0.864323
0.0001614,3.43434,0.884525
0.0001616,3.43434,0.884525
0.0001618,3.43434,0.884525
0.000162,3.43434,0.884525
0.0001622,3.45455,0.894626
0.0001624,3.43434,0.904727
0.0001626,3.43434,0.904727
0.0001628,3.45455,0.904727
0.000163,2.94949,0.914828
0.0001632,0.040404,0.904727
0.0001634,0.040404,0.904727
0.0001636,0.040404,0.904727
0.0001638,0.040404,0.914828
0.000164,0.040404,0.904727
0.0001642,0.040404,0.904727
0.0001644,0.040404,0.904727
0.0001646,0.040404,0.894626
0.0001648,0.040404,0.904727
0.000165,0.020202,0.904727
0.0001652,0.040404,0.904727
0.0001654,0.040404,0.894626
0.0001656,0.040404,0.884525
0.0001658,0.020202,0.894626
0.000166,0.040404,0.884525
